"departamento","time","dec_pbc","dec_cc","dec_mar","t_iqf","t_iqnf","inc_sol","inc_usd","inc_act","int_tra","int_mic","int_con","det_tra","det_mic","det_con","dec_pbc100","dec_cc100","dec_mar100","t_iqf100","t_iqnf100","inc_sol100","inc_usd100","inc_act100","int_tra100","int_mic100","int_con100","det_tra100","det_mic100","det_con100","pob"
"amazonas","2012","13.71","29.99","3.85","0.00","0.00","0.00","0.00","1.00","21.00","12.00","20.00","30.00","19.00","24.00","3.27","7.15","0.92","0.00","0.00","0.00","0.00","0.24","5.01","2.86","4.77","7.15","4.53","5.72","419467.20"
"amazonas","2013","74.95","0.00","50.42","0.00","0.00","0.00","290680.00","1.00","20.00","11.00","10.00","17.00","22.00","12.00","17.82","0.00","11.99","0.00","0.00","0.00","69124.19","0.24","4.76","2.62","2.38","4.04","5.23","2.85","420518.50"
"amazonas","2014","8.64","3.61","29.81","0.00","0.00","0.00","526000.00","0.00","20.00","25.00","45.00","19.00","21.00","47.00","2.05","0.86","7.07","0.00","0.00","0.00","124770.97","0.00","4.74","5.93","10.67","4.51","4.98","11.15","421572.43"
"amazonas","2015","13.70","22.73","11.55","444.00","400.00","200.00","0.00","0.00","27.00","32.00","36.00","34.00","30.00","31.00","3.24","5.38","2.73","105.06","94.65","47.32","0.00","0.00","6.39","7.57","8.52","8.04","7.10","7.34","422629.00"
"amazonas","2016","29.45","0.00","2.63","0.00","158.00","71100.00","0.00","5.00","33.00","20.00","11.00","45.00","23.00","7.00","6.95","0.00","0.62","0.00","37.27","16772.90","0.00","1.18","7.78","4.72","2.59","10.62","5.43","1.65","423898.00"
"amazonas","2017","30.14","0.00","2.78","0.00","0.00","0.00","0.00","308.00","12.00","17.00","13.00","12.00","17.00","13.00","7.09","0.00","0.65","0.00","0.00","0.00","0.00","72.48","2.82","4.00","3.06","2.82","4.00","3.06","424952.00"
"amazonas","2018","22.71","0.00","20.89","0.00","0.00","0.00","0.00","7.00","39.00","36.00","44.00","57.00","42.00","43.00","5.33","0.00","4.91","0.00","0.00","0.00","0.00","1.64","9.16","8.45","10.33","13.39","9.86","10.10","425829.00"
"amazonas","2019","26.19","0.16","7.27","880.00","302.00","130.00","0.00","4.00","28.00","25.00","31.00","35.00","26.00","33.00","6.13","0.04","1.70","206.07","70.72","30.44","0.00","0.94","6.56","5.85","7.26","8.20","6.09","7.73","427041.00"
"amazonas","2020","68.36","0.02","2.94","0.00","0.00","0.00","0.00","1.00","20.00","24.00","40.00","27.00","29.00","35.00","16.02","0.01","0.69","0.00","0.00","0.00","0.00","0.23","4.69","5.62","9.37","6.33","6.79","8.20","426806.00"
"amazonas","2021","244.56","27.99","26.03","0.00","0.00","0.00","0.00","1.00","40.00","24.00","12.00","40.00","24.00","12.00","57.07","6.53","6.07","0.00","0.00","0.00","0.00","0.23","9.33","5.60","2.80","9.33","5.60","2.80","428512.00"
"amazonas","2022","2032.74","409.76","1.74","46674.00","255.00","569587.00","210.00","25.00","72.00","26.00","13.00","68.00","23.00","8.00","473.30","95.41","0.41","10867.48","59.37","132621.55","48.90","5.82","16.76","6.05","3.03","15.83","5.36","1.86","429483.00"
"ancash","2012","53.93","50.34","447.41","2370.03","0.00","0.00","0.00","1.00","43.00","42.00","130.00","51.00","63.00","139.00","4.77","4.45","39.54","209.46","0.00","0.00","0.00","0.09","3.80","3.71","11.49","4.51","5.57","12.28","1131490.49"
"ancash","2013","0.54","0.07","219.52","59000.00","0.00","0.00","0.00","0.00","45.00","23.00","93.00","48.00","27.00","113.00","0.05","0.01","19.30","5188.29","0.00","0.00","0.00","0.00","3.96","2.02","8.18","4.22","2.37","9.94","1137176.38"
"ancash","2014","32.86","0.12","294.90","59000.00","0.00","3433.50","0.00","0.00","78.00","73.00","139.00","67.00","79.00","140.00","2.88","0.01","25.80","5162.35","0.00","300.42","0.00","0.00","6.82","6.39","12.16","5.86","6.91","12.25","1142890.83"
